Id,Predicted
114982,335079.0629
95653,481619.8743
40303,342752.6965
109506,316513.9092
100149,475687.0069
7610,352373.5922
61101,305408.6386
68167,521866.9316
65701,334134.9055
56039,327749.0317
81919,499255.3372
99768,423009.6178
124053,696412.0973
3942,428079.7059
118904,514206.9506
30060,387984.0226
185729,570530.4187
46357,668783.8741
20662,403445.3104
102274,526671.2717
53369,274937.5659
9719,328531.2289
20145,339841.9456
159051,666995.9781
31481,322086.9974
142247,373714.8873
29119,324374.7338
151448,438708.0212
60594,265205.96
83400,538917.4985
40168,277648.869
52407,406828.934
127232,543554.3862
131188,425729.5219
952,192040.8354
166230,529581.2273
144844,397150.0019
33207,361860.6227
28355,647743.8483
179918,681108.3154
162451,737927.1132
19390,276306.1307
114861,442121.438
132259,345354.3093
180033,804044.3198
97052,469262.2229
94224,411329.496
32295,481418.8218
171908,772531.5928
80236,625525.5551
156193,495075.6608
54494,274669.8703
174530,663780.6874
143835,402002.2075
26275,382331.5951
61627,612677.9394
49813,324058.2772
3466,515026.9293
117691,483496.2523
132738,634349.8833
114211,560478.0613
116741,480730.3532
39246,338611.0925
150011,319154.3707
182319,537150.9548
32441,330320.5261
18842,312843.7763
99428,401270.4916
96435,465842.7821
134803,362051.0847
171636,589896.7094
115944,563005.1303
149001,513370.9422
19084,390232.3297
178128,767736.2327
74818,379971.6992
49603,292584.359
86262,606535.6917
14520,284152.6654
57209,792203.3675
148575,556729.3538
33,157987.9508
180401,684643.1976
87114,460041.7891
16450,345292.547
28848,352912.7824
11519,239732.3179
7202,293260.8092
2843,253474.7435
156073,505108.3775
132217,434271.2686
140349,632225.3208
34614,318415.191
135594,418064.9814
170933,652385.2016
62586,480086.3498
145868,380866.4621
15155,196068.1003
61290,380902.6589
184569,700835.8286
169996,452981.2776
7026,393557.1231
128356,353452.7413
134501,566375.0553
163406,629468.0399
56796,478200.1953
174870,783284.3391
142554,501316.7459
59547,301817.8224
143113,471111.7123
154091,440794.7851
61191,514554.3672
135899,476292.0649
172405,586177.758
184121,565882.9338
1063,287757.6235
6348,340820.0147
79995,572285.2326
50573,362155.7639
79894,453335.5478
113553,353581.9009
31931,409250.1739
86645,426924.3874
123780,371585.9299
142940,506401.1792
138987,505321.5679
41502,288568.9478
100104,559127.5158
83570,467038.9888
181648,617345.642
68406,444829.516
114567,314973.2835
5470,400455.4525
176926,841452.7205
173013,527846.1901
110219,395761.0694
52178,232625.3639
120569,475374.314
132710,476519.7212
10478,436005.9635
100309,762300.5915
76446,324821.8959
140674,424947.3537
122786,587192.7671
66214,495914.9576
120240,288039.2091
113802,356108.1387
169747,471284.1682
45819,447722.6531
36170,306692.3146
84049,468498.5706
104675,351860.3464
66165,807697.0944
92499,359835.7468
107783,505596.1435
148441,568626.9617
12344,268721.8136
93256,514738.7016
48139,478753.9448
101908,351811.043
134084,459588.3121
17216,260307.9991
185201,698361.2025
185016,641638.4094
25318,293860.1698
65253,380701.6924
57696,257735.6241
30939,328713.6139
128338,354009.6283
104156,418135.2586
41455,380224.0597
126390,364514.2906
165803,499561.1512
108253,421087.57
15221,176948.2632
129322,362898.626
86142,628494.2723
150957,459806.4716
97028,415804.1623
3219,318415.3504
172533,475800.9432
147313,462449.3165
168865,418658.0933
138278,557629.4653
82280,356251.6301
4380,313006.5051
4327,524388.4871
109861,401692.5554
45273,497033.8185
102888,700470.6044
77664,437874.0749
58355,309544.6269
91308,282366.5794
169692,472531.8887
154931,623561.4331
123897,453718.7189
43550,466388.0485
94084,417254.4694
63629,352763.1334
163153,459416.8199
165076,672928.6316
55701,339418.5397
19310,384748.8894
18205,353213.1524
59608,496781.3231
60785,575395.5419
51513,315187.2364
145397,423312.2346
101693,444094.0598
164688,545475.1663
82863,330203.4922
1754,272271.7442
5376,497822.479
130074,470894.5651
102843,659907.6961
29760,341706.2008
130642,385061.6311
31347,449372.5427
24205,301271.386
165100,498723.9423
81514,571990.0676
116369,536938.1873
84639,332206.8625
97982,484556.504
91083,754360.0884
149132,618438.5882
41826,415475.9722
52033,244303.596
21665,301522.3243
62257,262277.0155
10102,381431.0465
23904,325529.7452
179693,820907.438
144227,774342.5548
120211,356411.3379
173440,488390.2099
46749,415875.7527
96942,588842.8942
183177,502434.0099
35398,326835.1137
30263,339559.8603
48194,386435.1213
129424,584358.2215
110123,405263.39
60370,550791.0125
33837,373203.994
108049,604556.3656
78656,487094.185
7172,312399.3638
66304,391815.6709
78058,397231.7003
176324,704382.8346
165880,542069.5148
93902,366459.209
116039,356493.0913
151166,486884.0936
40210,283819.5221
98367,337576.3597
160925,534728.3211
104371,539514.1051
78415,668051.1123
83660,531754.295
121434,587061.6777
78336,582390.3444
52510,417845.1378
64261,371464.7937
97749,436410.6451
172084,494664.3741
52569,320141.5648
57400,501887.0328
169875,623452.03
58398,419741.7487
183622,708749.5057
48753,545525.4453
130190,584065.4461
108466,426776.2805
157786,534760.2505
95190,350419.228
87452,469041.2947
142203,525976.3108
130773,615086.9843
168853,405426.1273
64684,453088.1375
57446,323304.6582
153747,392561.3925
159666,479325.5171
71555,459184.1183
134319,783635.8038
93943,417747.8886
109872,531615.7828
177223,717275.2051
93784,652309.8111
6380,313384.6286
132297,406811.8202
125110,501106.0634
36843,283851.0335
121955,364875.5489
82973,518498.9117
103986,351714.5343
97824,401508.7413
64151,411034.2957
165946,408971.7202
159307,507380.1458
131434,377344.8735
8556,559702.6449
37868,399377.3268
14032,324040.5839
21341,344248.7813
135288,529549.7393
50116,260108.9797
97940,457138.8467
162134,487055.0022
166998,484385.1608
137392,498651.5987
1460,275117.9318
171905,807010.0432
175067,580465.3465
172514,582228.9431
17738,291832.2021
67047,370927.6601
124014,592407.7109
185762,830197.8495
1311,301444.7131
119140,593735.5228
142546,534325.479
114400,353516.3798
22406,487711.0823
92766,524309.6989
60485,434496.3732
91648,458586.5911
132526,748575.9844
25180,446750.7615
48904,243767.2427
146550,511685.7792
19407,611802.1796
47699,301772.1036
2620,307380.6682
174106,605761.746
112846,543190.7446
83926,479355.145
64285,478759.8254
5733,255075.7154
87638,560093.938
53604,319423.5534
53244,457063.3691
82872,358840.2325
66096,579482.0489
173642,386179.1788
145405,374913.0214
90156,566010.4495
180075,730857.5176
5153,275165.5539
134959,511630.529
64342,439295.0552
51154,431682.6448
40845,265483.3286
170881,751239.8949
106257,790872.9729
114464,262960.3937
97370,393905.9093
172227,499705.5381
151941,480209.8916
107035,461171.2056
135274,441696.888
169795,572722.5278
83718,389080.9121
42632,214202.4552
68198,456437.9945
112707,514972.844
36740,359997.3614
42954,319365.2572
5921,330325.2305
40850,243009.8475
44668,310066.3064
21263,264840.4129
162241,520758.1041
81902,513801.5564
169151,595044.4119
154334,478885.1087
59218,351115.9532
37714,360569.4718
106222,523077.1218
139069,519579.4238
4425,485650.8728
140007,464225.7809
90024,370625.3553
153101,485742.4949
37538,350702.9513
32399,354595.765
38946,326625.7636
151272,473170.8794
95430,523737.7564
101750,656901.2964
16356,284283.5051
131496,440544.0213
167864,533053.739
17832,346561.8681
106738,391218.0391
33431,308924.1681
164505,531347.5656
47565,438676.3
99660,608411.7891
20200,362225.8064
28507,450882.0769
43495,426257.4273
23794,376738.7486
40297,340020.551
53944,587845.5142
11040,696043.8733
106585,477817.1355
70050,663105.7415
75026,479371.7141
142562,547976.9619
113332,456404.0427
104548,668461.3657
159065,565263.4718
157589,551925.3721
26850,364779.9102
83917,372889.901
124331,479470.5801
58018,245324.1242
163913,605172.368
109105,496808.5929
97862,430286.7843
16478,312758.2072
35187,319673.7518
25446,370322.5353
47828,455642.8324
123220,473004.5761
16366,319321.2928
144449,422861.0122
39920,272476.5912
160888,477591.4113
47978,334636.1241
14331,354551.9455
60334,351295.732
49737,264446.908
98533,338347.939
38375,327720.3795
176978,748383.0364
60474,485445.8201
163806,615032.4447
4654,412908.2919
130912,449531.5628
115098,460417.5457
56214,314269.7658
63720,292912.8943
143496,613332.0177
33941,298690.3819
66720,317157.4491
29518,193153.9583
68026,565123.1825
161546,546355.0703
118804,351249.3895
126852,438238.8377
102392,492190.7974
49738,239636.2768
49424,432590.0065
18184,353731.0274
5408,509461.8485
157571,542118.4937
111705,683897.7284
179891,729987.1314
76587,304712.1852
2629,343459.9673
119008,422488.3048
128414,317521.6587
162481,398186.7659
39075,336864.689
113444,548916.0651
58984,543827.3245
134087,461566.5798
27723,310230.4279
61426,911046.3007
26496,304231.0477
8183,366588.6781
96508,493485.4944
56072,364027.7279
77192,414164.0271
84054,501599.5347
55624,330019.7506
163711,422952.6096
29219,479932.1861
81813,515180.3275
181000,735764.3665
143894,472515.3414
141800,526000.4229
30009,288936.6049
45917,280665.4859
14425,344755.9954
23268,284461.6969
1284,217486.0652
69986,723103.9168
134779,432808.3604
78114,434837.953
128833,481891.6688
129335,439127.2458
56632,394902.2696
46967,303125.4713
146611,340104.4525
37748,315952.8712
156600,592909.4559
105167,352645.6921
35572,260387.3758
154900,618420.4071
68778,417488.6989
40761,623335.411
76922,370979.9311
57737,250771.4741
63946,435106.9667
111235,383696.7252
114882,501745.7612
12676,285286.8533
138376,502418.5324
90637,404607.1421
184522,670985.523
92974,385255.7136
8857,357242.2804
27895,318367.9751
156181,610432.333
41834,480881.0049
157391,530905.4159
143702,387966.3147
185912,920291.683
11229,318460.2721
41300,337966.1279
72247,322844.3289
83180,521283.5839
148335,460574.0481
7890,391590.8347
135138,457758.549
27131,364615.497
166558,644603.6358
131032,424562.7061
74357,505660.313
156049,393484.4241
69414,754729.3858
97276,382754.388
82842,365722.4936
148527,558766.0119
144752,465674.4727
18175,350838.1073
11905,309797.7063
171029,490128.2187
59320,432818.2211
84110,413736.9018
78965,791027.2804
85951,560109.0655
163141,524875.5374
109999,455816.5346
147801,386390.5112
139213,430513.3131
126460,688046.0549
28015,413722.0521
181431,595073.6779
52696,670627.0833
50605,329926.0238
165242,487523.7369
48813,232841.1271
110483,591620.8123
89306,400511.511
133442,366855.7348
65829,697031.0828
87579,413952.7861
91465,481782.8132
73701,568933.8824
15530,381444.543
18230,451967.6419
97193,491127.2217
166625,607907.1824
33195,436814.2082
136148,509662.6895
165033,712635.3507
21315,303641.0563
91814,284647.0811
16891,478716.6606
107918,690545.3568
79471,493575.901
21862,466483.3638
67991,502226.4323
